"date_time","occ.sess","occasion","session","site","food_trt","helm_trt","trap","x","y","tag","firstcap","sex","per","nip","preg","test","head","mass","fate"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","H1",8,2,"219770",1,"M",NA,NA,NA,"1",12.4,14.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","D1",4,2,"219707",1,"F","0","0","0",NA,12.6,12.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","D1",4,2,"219861",1,"F","0","0","0",NA,13,12.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","H1",8,2,"219718",1,"F","0","0","0",NA,12.5,16.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","G1",7,1,"219845",1,"M",NA,NA,NA,"0",13.3,15.5,"S"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","A4",1,7,"226179",0,"F","1","1","0",NA,13.2,18.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","D3",4,6,"219709",1,"M",NA,NA,NA,"0",12.9,12,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","C1",3,1,"219889",0,"F","1","0","0",NA,12.9,18.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","A2",1,3,"219725",1,"F","0","0","0",NA,12.8,14,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","A2",1,3,"226187",0,"F","0","0","0",NA,12.2,13.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","G2",7,3,"219792",0,"F","0","0","0",NA,12.5,12.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","C2",3,3,"219807",1,"M",NA,NA,NA,"0",12.5,14.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","E3",5,5,"219751",0,"F","0","0","0",NA,12.3,13.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","C3",3,5,"219710",1,"M",NA,NA,NA,"0",12.5,14,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","H5",8,10,"226112",0,"F","0","0","0",NA,12.3,14.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","G4",7,7,"219717",1,"M",NA,NA,NA,"0",12.6,13.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","F5",6,10,"219797",0,"M",NA,NA,NA,"0",12.3,15.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","F2",6,4,"219901",0,"F","0","0","0",NA,12.7,13.3,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","F1",6,2,"226776",1,"F","0","0","0",NA,12.6,13,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","H2",8,4,"219763",1,"F","1","1","0",NA,12.5,14.5,"R"
